chembl_id,uniprotkb_Id,uniprot_id,gene_name,recommended_name,target_name,Index,Index.1,isoform_id,clean_text,clean_text_alt,query_tokens,gene_like_candidates,hints,mutation_classes,rules_applied,hint_taxon,domains
CHEMBL1827,PDE5A,O76074,PDE5A,phosphodiesterase 5a,pde5a1,0,0,O76074-1,pde5a1,pde5a1,pde5a1,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL1827,PDE5A,O76074,PDE5A,phosphodiesterase 5a,pde5a2,0,0,O76074-2,pde5a2,pde5a2,pde5a2,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL203,EGFR,P00533,EGFR,epidermal growth factor receptor erbb1,tegfr,5,27,P00533-2,tegfr,tegfr,tegfr,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,her-alpha46,11,87,P03372-3,her alpha46|her-alpha46|heralpha46,her alpha46|her-alpha46|heralpha46,her|alpha46|her-alpha46|heralpha46,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,her-alpha36,11,87,P03372-4,her alpha36|her-alpha36|heralpha36,her alpha36|her-alpha36|heralpha36,her|alpha36|her-alpha36|heralpha36,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,her-alpha66,11,87,P03372-1,her alpha66|her-alpha66|heralpha66,her alpha66|her-alpha66|heralpha66,her|alpha66|her-alpha66|heralpha66,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,er66,11,87,P03372-1,er66,er66,er66,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,er46,11,87,P03372-3,er46,er46,er46,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,er36,11,87,P03372-4,er36,er36,er36,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL402,HMDH,P04035,HMGCR,hmg-coa reductase,hmgcr-1a,13,102,P04035-1,hmgcr 1a|hmgcr-1a|hmgcr1a,hmgcr 1a|hmgcr-1a|hmgcr1a,hmgcr|1a|hmgcr-1a|hmgcr1a,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL402,HMDH,P04035,HMGCR,hmg-coa reductase,hmgcr-1c,13,102,P04035-2,hmgcr 1c|hmgcr-1c|hmgcr1c,hmgcr 1c|hmgcr-1c|hmgcr1c,hmgcr|1c|hmgcr-1c|hmgcr1c,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL402,HMDH,P04035,HMGCR,hmg-coa reductase,hmgcr-1b,13,102,P04035-3,hmgcr 1b|hmgcr-1b|hmgcr1b,hmgcr 1b|hmgcr-1b|hmgcr1b,hmgcr|1b|hmgcr-1b|hmgcr1b,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-a alpha,14,107,P04150-5,gr a alpha|gr-a alpha|gr-a|gra alpha|gra,gr a alpha|gr-a alpha|gr-a|gra alpha|gra,gr|a|alpha|gr-a|gra,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-a beta,14,107,P04150-7,gr a beta|gr-a beta|gr-a|gra beta|gra,gr a beta|gr-a beta|gr-a|gra beta|gra,gr|a|beta|gr-a|gra,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-p,14,107,P04150-4,gr p|gr-p|grp,gr p|gr-p|grp,gr|p|gr-p|grp,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphab,14,107,P04150-8,gr alphab|gr-alphab|gralphab,gr alphab|gr-alphab|gralphab,gr|alphab|gr-alphab|gralphab,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,hgrdelta313-338,14,107,P04150-10,hgrdelta313 338|hgrdelta313-338|hgrdelta313338,hgrdelta313 338|hgrdelta313-338|hgrdelta313338,hgrdelta313|338|hgrdelta313-338|hgrdelta313338,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphac1,14,107,P04150-11,gr alphac1|gr-alphac1|gralphac1,gr alphac1|gr-alphac1|gralphac1,gr|alphac1|gr-alphac1|gralphac1,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphac2,14,107,P04150-12,gr alphac2|gr-alphac2|gralphac2,gr alphac2|gr-alphac2|gralphac2,gr|alphac2|gr-alphac2|gralphac2,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphac3,14,107,P04150-13,gr alphac3|gr-alphac3|gralphac3,gr alphac3|gr-alphac3|gralphac3,gr|alphac3|gr-alphac3|gralphac3,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphad1,14,107,P04150-14,gr alphad1|gr-alphad1|gralphad1,gr alphad1|gr-alphad1|gralphad1,gr|alphad1|gr-alphad1|gralphad1,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphad2,14,107,P04150-15,gr alphad2|gr-alphad2|gralphad2,gr alphad2|gr-alphad2|gralphad2,gr|alphad2|gr-alphad2|gralphad2,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphad3,14,107,P04150-16,gr alphad3|gr-alphad3|gralphad3,gr alphad3|gr-alphad3|gralphad3,gr|alphad3|gr-alphad3|gralphad3,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphaa,14,107,P04150-1,gr alphaa|gr-alphaa|gralphaa,gr alphaa|gr-alphaa|gralphaa,gr|alphaa|gr-alphaa|gralphaa,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL1981,INSR,P06213,INSR,insulin receptor,hir-b,17,122,P06213-1,hir b|hir-b|hirb,hir b|hir-b|hirb,hir|b|hir-b|hirb,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL1981,INSR,P06213,INSR,insulin receptor,hir-a,17,122,P06213-2,hir a|hir-a|hira,hir a|hir-a|hira,hir|a|hir-a|hira,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL208,PRGR,P06401,PGR,progesterone receptor,prb,18,130,P06401-1,prb,prb,prb,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL208,PRGR,P06401,PGR,progesterone receptor,pra,18,130,P06401-2,pra,pra,pra,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL208,PRGR,P06401,PGR,progesterone receptor,pr-m,18,130,P06401-4,pr m|pr-m|prm,pr m|pr-m|prm,pr|m|pr-m|prm,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL208,PRGR,P06401,PGR,progesterone receptor,pr-b,18,130,P06401-1,pr b|pr-b|prb,pr b|pr-b|prb,pr|b|pr-b|prb,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL208,PRGR,P06401,PGR,progesterone receptor,pr-a,18,130,P06401-2,pr a|pr-a|pra,pr a|pr-a|pra,pr|a|pr-a|pra,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL1871,ANDR,P10275,AR,androgen receptor,ar-b,27,181,P10275-1,ar b|ar-b|arb,ar b|ar-b|arb,ar|b|ar-b|arb,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL1871,ANDR,P10275,AR,androgen receptor,ar-a,27,181,P10275-2,ar a|ar-a|ara,ar a|ar-a|ara,ar|a|ar-a|ara,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL1871,ANDR,P10275,AR,androgen receptor,ar3,27,181,P10275-3,ar3,ar3,ar3,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL1871,ANDR,P10275,AR,androgen receptor,ar4,27,181,P10275-4,ar4,ar4,ar4,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL1871,ANDR,P10275,AR,androgen receptor,variant ar45,27,181,P10275-2,variant ar45,variant ar45,variant|ar45,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
CHEMBL1808,ACE,P12821,ACE,angiotensin-converting enzyme,ace-t,35,236,P12821-3:P22966-1,ace t|ace-t|acet,ace t|ace-t|acet,ace|t|ace-t|acet,,"{""parenthetical"": [], ""dropped"": [], ""mutations"": [], ""mutation_classes"": [], ""reason"": []}",,[],9606,
