chembl_id,uniprotkb_Id,uniprot_id,gene_name,recommended_name,target_name,Index,Index.1,isoform_id
CHEMBL1827,PDE5A,O76074,PDE5A,phosphodiesterase 5a,pde5a1,0,0,O76074-1
CHEMBL1827,PDE5A,O76074,PDE5A,phosphodiesterase 5a,pde5a2,0,0,O76074-2
CHEMBL203,EGFR,P00533,EGFR,epidermal growth factor receptor erbb1,tegfr,5,27,P00533-2
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,her-alpha46,11,87,P03372-3
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,her-alpha36,11,87,P03372-4
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,her-alpha66,11,87,P03372-1
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,er66,11,87,P03372-1
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,er46,11,87,P03372-3
CHEMBL206,ESR1,P03372,ESR1,estrogen receptor alpha,er36,11,87,P03372-4
CHEMBL402,HMDH,P04035,HMGCR,hmg-coa reductase,hmgcr-1a,13,102,P04035-1
CHEMBL402,HMDH,P04035,HMGCR,hmg-coa reductase,hmgcr-1c,13,102,P04035-2
CHEMBL402,HMDH,P04035,HMGCR,hmg-coa reductase,hmgcr-1b,13,102,P04035-3
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-a alpha,14,107,P04150-5
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-a beta,14,107,P04150-7
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-p,14,107,P04150-4
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphab,14,107,P04150-8
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,hgrdelta313-338,14,107,P04150-10
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphac1,14,107,P04150-11
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphac2,14,107,P04150-12
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphac3,14,107,P04150-13
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphad1,14,107,P04150-14
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphad2,14,107,P04150-15
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphad3,14,107,P04150-16
CHEMBL2034,GCR,P04150,NR3C1,glucocorticoid receptor,gr-alphaa,14,107,P04150-1
CHEMBL1981,INSR,P06213,INSR,insulin receptor,hir-b,17,122,P06213-1
CHEMBL1981,INSR,P06213,INSR,insulin receptor,hir-a,17,122,P06213-2
CHEMBL208,PRGR,P06401,PGR,progesterone receptor,prb,18,130,P06401-1
CHEMBL208,PRGR,P06401,PGR,progesterone receptor,pra,18,130,P06401-2
CHEMBL208,PRGR,P06401,PGR,progesterone receptor,pr-m,18,130,P06401-4
CHEMBL208,PRGR,P06401,PGR,progesterone receptor,pr-b,18,130,P06401-1
CHEMBL208,PRGR,P06401,PGR,progesterone receptor,pr-a,18,130,P06401-2
CHEMBL1871,ANDR,P10275,AR,androgen receptor,ar-b,27,181,P10275-1
CHEMBL1871,ANDR,P10275,AR,androgen receptor,ar-a,27,181,P10275-2
CHEMBL1871,ANDR,P10275,AR,androgen receptor,ar3,27,181,P10275-3
CHEMBL1871,ANDR,P10275,AR,androgen receptor,ar4,27,181,P10275-4
CHEMBL1871,ANDR,P10275,AR,androgen receptor,variant ar45,27,181,P10275-2
CHEMBL1808,ACE,P12821,ACE,angiotensin-converting enzyme,ace-t,35,236,P12821-3:P22966-1
CHEMBL1808,ACE,P12821,ACE,angiotensin-converting enzyme,acet,35,236,P12821-3
CHEMBL1808,ACE,P12821,ACE,angiotensin-converting enzyme,tace,35,236,P12821-3
CHEMBL1808,ACE,P12821,ACE,angiotensin-converting enzyme,htace,35,236,P12821-3
CHEMBL218,CNR1,P21554,CNR1,cannabinoid cb1 receptor,cb1a,44,308,P21554-2
CHEMBL218,CNR1,P21554,CNR1,cannabinoid cb1 receptor,cb1b,44,308,P21554-3
CHEMBL2023,COMT,P21964,COMT,catechol o-methyltransferase,mb-comt,47,318,P21964-1
CHEMBL2023,COMT,P21964,COMT,catechol o-methyltransferase,s-comt,47,318,P21964-2
CHEMBL220,ACES,P22303,ACHE,acetylcholinesterase,ache-s,48,320,P22303-1
CHEMBL220,ACES,P22303,ACHE,acetylcholinesterase,ache-e,48,320,P22303-2
CHEMBL220,ACES,P22303,ACHE,acetylcholinesterase,ache-r,48,320,P22303-4
CHEMBL1804,SSR2,P30874,SSTR2,somatostatin receptor 2,sstr2a,62,426,P30874-1
CHEMBL1804,SSR2,P30874,SSTR2,somatostatin receptor 2,sstr2b,62,426,P30874-2
CHEMBL1800,CRFR1,P34998,CRHR1,corticotropin releasing factor receptor 1,crf-r1,66,460,P34998-1
CHEMBL233,OPRM,P35372,OPRM1,mu opioid receptor,mor1a,71,498,P35372-2
CHEMBL233,OPRM,P35372,OPRM1,mu opioid receptor,mor-1r,71,502,P35372-3
CHEMBL233,OPRM,P35372,OPRM1,mu opioid receptor,mor-1b3,71,502,P35372-4
CHEMBL233,OPRM,P35372,OPRM1,mu opioid receptor,mor-1c,71,502,P35372-5
